Price,Rating,processor_tier,num_cores,num_threads,ram_memory,primary_storage_capacity,secondary_storage_capacity,is_touch_screen,display_size,resolution_width,resolution_height,year_of_warranty,total_number_of_pixels,total_pixels_per_square_of_diag,gpu_brand_amd,gpu_brand_apple,gpu_brand_intel,gpu_brand_nvidia,gpu_type_integrated,OS_chrome,OS_other,OS_ubuntu,OS_windows,brand_acer,brand_asus,brand_avita,brand_chuwi,brand_dell,brand_fujitsu,brand_gigabyte,brand_honor,brand_hp,brand_iball,brand_infinix,brand_jio,brand_lenovo,brand_lg,brand_microsoft,brand_msi,brand_realme,brand_samsung,brand_tecno,brand_ultimus,brand_walker,brand_wings,brand_zebronics,processor_brand_amd,processor_brand_intel,primary_storage_type_SSD
0.3083410562550717,0.3639210347174949,3,0.4421141086977403,0.3535533905932737,0.1764705882352941,0.6666666666666666,0.0,0,0.4588455796878374,0.4946599701888043,0.2831680132189254,1,0.3694047325912688,0.3351523725473004,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.458844974708807,0.3639210347174949,4,0.5578858913022597,0.4792073281847043,0.4117647058823529,0.6666666666666666,0.0,0,0.4588455796878374,0.4946599701888043,0.2831680132189254,1,0.3694047325912688,0.3351523725473004,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
0.3642853168043887,0.514635806671205,4,0.4421141086977403,0.4792073281847043,0.1764705882352941,0.6666666666666666,0.0,0,0.2424942552621574,0.4946599701888043,0.2831680132189254,1,0.3694047325912688,0.4416093787118154,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.8732771533927475,0.9759019741320626,5,0.783091851446946,0.7029266564879363,0.8823529411764706,0.8333333333333334,0.0,1,0.4588455796878374,1.0,0.8588846557123695,1,0.983841783539626,0.9652229072960016,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.6528957067019001,0.6874063989108238,5,0.8368288369533894,0.8059274488676564,0.4117647058823529,0.8333333333333334,0.0,0,0.5287152957375304,0.4946599701888043,0.3706787238257263,1,0.4199439581387363,0.3620706610548811,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.6777387834875279,0.8822328114363513,6,0.5578858913022597,0.5946035575013605,0.4117647058823529,0.8333333333333334,0.0,0,0.4588455796878374,0.4946599701888043,0.2831680132189254,1,0.3694047325912688,0.3351523725473004,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.5864557370261652,0.6273655547991832,5,0.7210570543488701,0.5946035575013605,0.4117647058823529,0.8333333333333334,0.0,0,0.1743136492820049,0.4946599701888043,0.3706787238257263,2,0.4199439581387363,0.5438951788362045,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
0.5160967415147453,0.4619469026548672,4,0.7210570543488701,0.5946035575013605,0.4117647058823529,0.8333333333333334,0.0,0,0.4588455796878374,0.4946599701888043,0.2831680132189254,1,0.3694047325912688,0.3351523725473004,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.4022705190350133,0.3485364193328795,3,0.3687425167268671,0.2849383821193472,0.1764705882352941,0.8333333333333334,0.0,0,0.4588455796878374,0.4946599701888043,0.2831680132189254,1,0.3694047325912688,0.3351523725473004,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.6348036163566875,0.7498978897208987,5,0.5578858913022597,0.5946035575013605,0.4117647058823529,0.8333333333333334,0.0,0,0.5473091773297121,0.4946599701888043,0.2831680132189254,1,0.3694047325912688,0.304116123955839,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
